frame,id_tracking_easy,tipo_objeto_easy,confianza_easy,x1,y1,x2,y2,texto_matricula_easy,id_tracking_tess,tipo_objeto_tess,confianza_tess,texto_matricula_tess,similitud
1064,,matricula,0.3175810575485229,0,650,87,724,,,matricula,0.3175810575485229,,1.0
1240,,matricula,0.2670970261096954,1862,436,1920,502,,,matricula,0.2670970261096954,S,0.0
1241,,matricula,0.2632641792297363,1831,436,1914,504,,,matricula,0.2632641792297363,,1.0
1245,,matricula,0.2532209753990173,1751,427,1823,468,242,,matricula,0.2532209753990173,,0.0
1248,,matricula,0.4135761559009552,1701,420,1759,457,,,matricula,0.4135761559009552,,1.0
1287,,matricula,0.2709431946277618,939,386,1066,426,05713 4,,matricula,0.2709431946277618,,0.0
1287,,matricula,0.2567587196826935,946,390,1014,424,,,matricula,0.2567587196826935,,1.0
1288,,matricula,0.4828822910785675,919,392,990,426,26713 F,,matricula,0.4828822910785675,,0.0
1292,,matricula,0.4716217517852783,879,398,956,435,6713,,matricula,0.4716217517852783,,0.0
1294,,matricula,0.5440894365310669,856,408,924,438,5713,,matricula,0.5440894365310669,,0.0
1294,,matricula,0.3836604654788971,849,405,933,443,,,matricula,0.3836604654788971,,1.0
1295,,matricula,0.7305127382278442,829,407,916,444,5713,,matricula,0.7305127382278442,,0.0
1295,,matricula,0.588632345199585,828,406,999,451,,,matricula,0.588632345199585,,1.0
1295,,matricula,0.367377758026123,832,410,947,454,,,matricula,0.367377758026123,,1.0
1296,,matricula,0.4120451211929321,818,413,901,453,{20722,,matricula,0.4120451211929321,,0.0
1298,,matricula,0.4817395508289337,786,419,873,458,2arE?,,matricula,0.4817395508289337,,0.25
1299,,matricula,0.4718721508979797,757,424,852,469,16712,,matricula,0.4718721508979797,,0.0
1300,,matricula,0.631615161895752,728,431,825,474,18722,,matricula,0.631615161895752,,0.0
1301,,matricula,0.4131702780723572,705,438,809,473,127,,matricula,0.4131702780723572,,0.0
1302,,matricula,0.3455287218093872,674,442,783,480,,,matricula,0.3455287218093872,,1.0
1303,,matricula,0.5469154715538025,639,449,759,501,02,,matricula,0.5469154715538025,,0.0
1304,,matricula,0.5670761466026306,606,458,726,499,,,matricula,0.5670761466026306,,1.0
1305,,matricula,0.6633297801017761,566,467,689,520,522,,matricula,0.6633297801017761,,0.0
1307,,matricula,0.4585408270359039,471,482,610,540,,,matricula,0.4585408270359039,,1.0
1308,,matricula,0.4931140542030334,412,502,552,546,,,matricula,0.4931140542030334,,1.0
1308,,matricula,0.2609286904335022,415,499,561,558,,,matricula,0.2609286904335022,,1.0
1309,,matricula,0.2671696543693542,342,508,490,570,,,matricula,0.2671696543693542,,1.0
1311,,matricula,0.3617918491363525,177,546,345,623,,,matricula,0.3617918491363525,,1.0
1352,,matricula,0.3287137448787689,862,386,934,434,4[202127iX,,matricula,0.3287137448787689,,0.0
1358,,matricula,0.7373320460319519,754,419,846,462,=12@ZTE,,matricula,0.7373320460319519,,0.0
1359,,matricula,0.7510860562324524,738,433,818,472,2227'21EFEÑ,,matricula,0.7510860562324524,,0.0
1359,,matricula,0.3595314621925354,730,429,834,480,,,matricula,0.3595314621925354,,1.0
1360,,matricula,0.6816928386688232,706,422,803,476,=cfl)12,,matricula,0.6816928386688232,,0.0
1361,,matricula,0.6766215562820435,686,447,777,485,J22FE,,matricula,0.6766215562820435,,0.0
1361,,matricula,0.402077317237854,687,434,779,493,,,matricula,0.402077317237854,,1.0
1362,,matricula,0.721856415271759,654,448,754,492,=5249122FE,,matricula,0.721856415271759,TFIE,0.2857142857142857
1362,,matricula,0.3533631563186645,656,435,756,498,,,matricula,0.3533631563186645,,1.0
1363,,matricula,0.7294185757637024,622,457,723,498,2=27Z2,,matricula,0.7294185757637024,,0.0
1364,,matricula,0.6891728639602661,589,472,694,507,"122""",,matricula,0.6891728639602661,,0.0
1365,,matricula,0.639879047870636,555,478,660,520,,,matricula,0.639879047870636,,1.0
1366,,matricula,0.6146933436393738,508,478,627,525,22,,matricula,0.6146933436393738,,0.0
1367,,matricula,0.5459192395210266,464,496,590,538,23,,matricula,0.5459192395210266,,0.0
1368,,matricula,0.626415491104126,421,509,539,547,,,matricula,0.626415491104126,,1.0
1369,,matricula,0.5227258801460266,359,522,494,569,ES1,,matricula,0.5227258801460266,,0.0
1370,,matricula,0.3980553150177002,296,532,438,587,,,matricula,0.3980553150177002,,1.0
1371,,matricula,0.5505946278572083,225,551,370,601,,,matricula,0.5505946278572083,,1.0
1372,,matricula,0.6357420086860657,134,570,288,624,,,matricula,0.6357420086860657,,1.0
1374,,matricula,0.4993180930614471,0,617,93,688,,,matricula,0.4993180930614471,,1.0
1407,,matricula,0.2558655440807342,1846,448,1919,486,,,matricula,0.2558655440807342,,1.0
1411,,matricula,0.3618233501911163,1796,436,1859,463,1~2-,,matricula,0.3618233501911163,,0.0
1412,,matricula,0.3460022211074829,1775,432,1853,464,22l,,matricula,0.3460022211074829,,0.0
1413,,matricula,0.477548211812973,1756,430,1836,462,'2222,,matricula,0.477548211812973,,0.0
1413,,matricula,0.2897065877914428,1738,424,1839,462,,,matricula,0.2897065877914428,,1.0
