fotograma,tipo_objeto,confianza,id_tracking,x1,y1,x2,y2,matricula_en_su_caso,conf_matricula,mx1,my1,mx2,my2,texto_matricula
29,matricula,0.9257206320762634,29,1012,791,1147,828,True,0.9257206320762634,1012,791,1147,828,7x55C25166
29,matricula,0.7851988673210144,29,1858,417,1919,476,True,0.7851988673210144,1858,417,1919,476,FTEF
29,matricula,0.267093688249588,29,1737,864,1772,908,True,0.267093688249588,1737,864,1772,908,
30,matricula,0.8545297980308533,30,994,791,1134,830,True,0.8545297980308533,994,791,1134,830,Tx5sczsu6)
30,matricula,0.7034635543823242,30,1858,418,1919,476,True,0.7034635543823242,1858,418,1919,476,PTEF
30,matricula,0.28455600142478943,30,1737,865,1772,909,True,0.28455600142478943,1737,865,1772,909,
31,matricula,0.9168659448623657,31,973,792,1111,829,True,0.9168659448623657,973,792,1111,829,7K55C251(6
31,matricula,0.6614469885826111,31,1857,418,1919,477,True,0.6614469885826111,1857,418,1919,477,PTEF
32,matricula,0.9147242903709412,32,958,793,1094,827,True,0.9147242903709412,958,793,1094,827,7k55c25ii6
32,matricula,0.6195902824401855,32,1857,419,1919,476,True,0.6195902824401855,1857,419,1919,476,FTER
33,matricula,0.850301206111908,33,943,793,1077,831,True,0.850301206111908,943,793,1077,831,7N55525146
33,matricula,0.6472668647766113,33,1857,419,1919,477,True,0.6472668647766113,1857,419,1919,477,PTER
34,matricula,0.8155260682106018,34,928,792,1063,827,True,0.8155260682106018,928,792,1063,827,TM55c25646
34,matricula,0.6936865448951721,34,1857,417,1919,477,True,0.6936865448951721,1857,417,1919,477,FETER
35,matricula,0.6667585372924805,35,916,792,1043,828,True,0.6667585372924805,916,792,1043,828,7M55C25140
35,matricula,0.6644142866134644,35,1857,418,1919,476,True,0.6644142866134644,1857,418,1919,476,FETER
36,matricula,0.7653515934944153,36,902,792,1030,827,True,0.7653515934944153,902,792,1030,827,755075140
36,matricula,0.6252138614654541,36,1857,418,1919,476,True,0.6252138614654541,1857,418,1919,476,FTER
37,matricula,0.7133255004882812,37,891,793,1016,828,True,0.7133255004882812,891,793,1016,828,7K55C25446L
37,matricula,0.6741281747817993,37,1857,420,1919,477,True,0.6741281747817993,1857,420,1919,477,PETER
38,matricula,0.7024630904197693,38,1857,419,1919,477,True,0.7024630904197693,1857,419,1919,477,PETER
38,matricula,0.6977652311325073,38,876,794,1001,829,True,0.6977652311325073,876,794,1001,829,7m55C2541
39,matricula,0.6832897067070007,39,1857,420,1919,477,True,0.6832897067070007,1857,420,1919,477,RTER
39,matricula,0.5694323182106018,39,863,793,990,826,True,0.5694323182106018,863,793,990,826,7k55c25146]
40,matricula,0.662880003452301,40,1857,420,1919,477,True,0.662880003452301,1857,420,1919,477,FTER
40,matricula,0.4287078082561493,40,851,793,975,826,True,0.4287078082561493,851,793,975,826,1*55575446]
41,matricula,0.7236114740371704,41,1857,420,1919,477,True,0.7236114740371704,1857,420,1919,477,PTER
41,matricula,0.5576511025428772,41,842,793,965,826,True,0.5576511025428772,842,793,965,826,7N55c2544
42,matricula,0.7356690764427185,42,1856,420,1919,477,True,0.7356690764427185,1856,420,1919,477,PTER
42,matricula,0.6054249405860901,42,831,793,952,828,True,0.6054249405860901,831,793,952,828,T*55C25140
43,matricula,0.7163205742835999,43,1856,420,1919,477,True,0.7163205742835999,1856,420,1919,477,PETER
43,matricula,0.3471173942089081,43,816,796,941,830,True,0.3471173942089081,816,796,941,830,7M55Cz517]
44,matricula,0.8200522661209106,44,813,792,927,828,True,0.8200522661209106,813,792,927,828,7855c25446]
44,matricula,0.8044978976249695,44,1857,421,1919,477,True,0.8044978976249695,1857,421,1919,477,PTER
45,matricula,0.8830237984657288,45,1857,417,1919,477,True,0.8830237984657288,1857,417,1919,477,FETER
45,matricula,0.7874220609664917,45,802,792,918,827,True,0.7874220609664917,802,792,918,827,7n55C7544}
46,matricula,0.8896120190620422,46,1856,419,1919,477,True,0.8896120190620422,1856,419,1919,477,PTER
46,matricula,0.5943080186843872,46,790,796,906,830,True,0.5943080186843872,790,796,906,830,7855525446)
47,matricula,0.7924363017082214,47,1856,421,1919,476,True,0.7924363017082214,1856,421,1919,476,PIER
47,matricula,0.6018200516700745,47,783,794,897,830,True,0.6018200516700745,783,794,897,830,7055C75446}
48,matricula,0.733433187007904,48,774,793,886,829,True,0.733433187007904,774,793,886,829,7855575440}
48,matricula,0.6466619968414307,48,1856,421,1919,477,True,0.6466619968414307,1856,421,1919,477,FTER
