frame,id_tracking,tipo_objeto,confianza,x1,y1,x2,y2,texto_matricula
1725,,matricula,0.32425251603126526,322,532,456,566,
1792,,matricula,0.30654144287109375,801,433,879,460,AESZBLKS
1793,,matricula,0.7369897961616516,783,439,867,462,NS535LKIT
1794,,matricula,0.4051216244697571,759,448,847,475,ASS36LKST
1795,,matricula,0.6697752475738525,742,453,828,480,
1796,,matricula,0.8028618693351746,718,454,806,483,
1797,,matricula,0.6075860857963562,694,461,785,492,
1798,,matricula,0.5204058885574341,666,469,762,501,
1799,,matricula,0.9218608140945435,639,475,736,507,
1800,,matricula,0.8620647192001343,605,480,711,515,
1801,,matricula,0.6947726607322693,571,494,681,527,
1802,,matricula,0.8978428840637207,528,500,647,535,
1803,,matricula,0.7299373745918274,492,512,612,550,
1804,,matricula,0.9449822306632996,442,524,567,563,
1805,,matricula,0.6226626038551331,387,541,520,578,
1806,,matricula,0.8128323554992676,328,551,470,598,
1807,,matricula,0.8865065574645996,256,570,406,618,
1808,,matricula,0.7421337962150574,178,592,339,641,
1809,,matricula,0.2825838625431061,86,614,259,669,
1810,,matricula,0.3290718197822571,2,643,162,701,
1930,,matricula,0.2572953402996063,625,479,726,509,
1931,,matricula,0.4057181775569916,581,494,685,525,
1932,,matricula,0.5492881536483765,535,502,653,535,
1933,,matricula,0.35507312417030334,481,518,603,553,
1934,,matricula,0.37689831852912903,421,537,546,572,
2129,,matricula,0.5212151408195496,734,436,824,467,
2133,,matricula,0.8130561113357544,654,454,758,483,
2134,,matricula,0.7831131815910339,632,461,735,489,
2135,,matricula,0.5649593472480774,608,465,715,500,
2136,,matricula,0.33170822262763977,585,475,691,503,
2137,,matricula,0.8038970828056335,554,477,667,510,
2138,,matricula,0.7601929903030396,524,487,642,522,
2139,,matricula,0.7849221229553223,493,493,615,528,
2140,,matricula,0.8102232813835144,455,499,584,539,
2141,,matricula,0.7911871671676636,415,508,549,550,
2142,,matricula,0.9409634470939636,374,520,515,561,
2143,,matricula,0.7760787010192871,328,531,473,573,
2144,,matricula,0.7621446251869202,277,545,425,586,
2145,,matricula,0.6649602651596069,211,556,378,605,
2146,,matricula,0.4838222563266754,152,571,323,622,
2148,,matricula,0.5266513228416443,4,606,178,669,
2353,,matricula,0.2675458788871765,1057,300,1121,320,
2621,,matricula,0.3665662705898285,1339,483,1421,508,
2622,,matricula,0.7652534246444702,1345,491,1431,514,
2623,,matricula,0.3461190164089203,1352,499,1438,525,
2625,,matricula,0.6607365608215332,1369,510,1463,533,1965KBP
2627,,matricula,0.45112860202789307,1402,525,1498,554,
2628,,matricula,0.8655787706375122,1411,531,1518,563,
2629,,matricula,0.3309307098388672,1431,543,1536,568,
2630,,matricula,0.8206182718276978,1449,550,1557,579,
2631,,matricula,0.7330507636070251,1470,563,1582,591,
2632,,matricula,0.7181900143623352,1491,572,1606,603,
2633,,matricula,0.7378112077713013,1515,582,1639,619,
2634,,matricula,0.2575398087501526,1544,596,1670,625,
2635,,matricula,0.59046870470047,1573,611,1701,645,
2636,,matricula,0.7817783951759338,1608,627,1750,663,
2639,,matricula,0.6652952432632446,1745,685,1907,723,
2640,,matricula,0.802550196647644,1795,705,1919,752,
2641,,matricula,0.3548267185688019,1859,732,1920,768,
