epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,76.0288,0.91974,1.32212,1.00012,1,0.8105,0.89698,0.62265,1.17031,1.53877,1.02397,0.0011882,0.0011882,0.0011882
43,77.6203,0.834,1.32856,0.99288,1,0.81653,0.8844,0.66719,1.0624,1.39884,0.99336,0.0011684,0.0011684,0.0011684
44,79.2449,0.85159,1.20533,0.96764,0.99413,0.81818,0.86517,0.62758,1.10178,1.31849,0.99713,0.0011486,0.0011486,0.0011486
45,80.797,0.83658,1.18152,0.9583,0.99413,0.81818,0.86517,0.62758,1.10178,1.31849,0.99713,0.0011288,0.0011288,0.0011288
46,82.4444,0.83769,1.29125,0.99967,0.97496,0.81818,0.85117,0.66987,0.979,1.34062,0.96059,0.001109,0.001109,0.001109
47,84.0808,0.90392,1.19063,0.98072,0.8912,0.81818,0.8372,0.67531,0.91824,1.2717,0.93917,0.0010892,0.0010892,0.0010892
48,85.6905,0.96015,1.18583,1.0023,0.8912,0.81818,0.8372,0.67531,0.91824,1.2717,0.93917,0.0010694,0.0010694,0.0010694
49,87.392,0.91207,1.22158,1.02963,0.9,0.81818,0.84366,0.7035,0.84354,1.23012,0.93797,0.0010496,0.0010496,0.0010496
50,89.2233,0.82756,1.1343,0.94123,0.9,0.81818,0.84366,0.7035,0.84354,1.23012,0.93797,0.0010298,0.0010298,0.0010298
51,90.9348,0.80788,1.13133,0.9301,0.89865,0.8071,0.84707,0.66487,0.90604,1.10126,0.94055,0.00101,0.00101,0.00101
52,92.5388,0.86733,1.22556,0.9869,0.98568,0.72727,0.83747,0.63666,0.97533,1.17502,0.94945,0.0009902,0.0009902,0.0009902
53,94.1396,0.86406,1.17042,0.90735,0.98568,0.72727,0.83747,0.63666,0.97533,1.17502,0.94945,0.0009704,0.0009704,0.0009704
54,95.8256,0.73089,1.00279,0.90859,0.81537,0.8041,0.84505,0.63837,0.96757,1.24178,0.94507,0.0009506,0.0009506,0.0009506
55,97.4849,0.80068,1.04752,0.93052,0.82009,0.90909,0.84516,0.62011,1.00173,1.18693,0.96342,0.0009308,0.0009308,0.0009308
56,99.0967,0.82648,1.24897,1.02036,0.82009,0.90909,0.84516,0.62011,1.00173,1.18693,0.96342,0.000911,0.000911,0.000911
57,100.904,0.83085,1.11927,0.96926,0.80318,0.90909,0.82517,0.6193,0.95565,1.09298,0.97566,0.0008912,0.0008912,0.0008912
58,102.573,0.80724,1.13343,0.99028,0.80318,0.90909,0.82517,0.6193,0.95565,1.09298,0.97566,0.0008714,0.0008714,0.0008714
59,104.167,0.82495,1.09646,0.9706,0.88523,0.90909,0.86426,0.64023,1.12985,1.09122,0.99966,0.0008516,0.0008516,0.0008516
60,105.805,0.81185,1.09174,0.98831,1,0.90709,0.90516,0.66027,1.24944,1.08425,1.01691,0.0008318,0.0008318,0.0008318
61,107.39,0.7196,0.97073,0.90567,1,0.90709,0.90516,0.66027,1.24944,1.08425,1.01691,0.000812,0.000812,0.000812
62,109.01,0.77847,1.00666,0.94804,0.99216,0.90909,0.90516,0.65796,1.18706,1.12115,1.00852,0.0007922,0.0007922,0.0007922
63,110.677,0.82163,1.18995,0.93085,0.99886,0.90909,0.90516,0.70114,1.03445,1.08609,0.97375,0.0007724,0.0007724,0.0007724
64,112.452,0.76605,1.06996,0.93877,0.99886,0.90909,0.90516,0.70114,1.03445,1.08609,0.97375,0.0007526,0.0007526,0.0007526
65,114.132,0.84118,1.01375,0.9929,0.99529,0.90909,0.90516,0.72549,0.90939,1.02493,0.95546,0.0007328,0.0007328,0.0007328
66,115.805,0.77332,1.08787,0.94483,0.99529,0.90909,0.90516,0.72549,0.90939,1.02493,0.95546,0.000713,0.000713,0.000713
67,117.524,0.77162,1.01281,0.91797,0.99028,0.90909,0.91786,0.72996,0.85553,1.00978,0.94173,0.0006932,0.0006932,0.0006932
68,119.192,0.74112,0.99465,0.95663,0.99384,0.90909,0.9215,0.70614,0.93538,1.00546,0.95021,0.0006734,0.0006734,0.0006734
69,120.896,0.70828,0.98589,0.90121,0.99384,0.90909,0.9215,0.70614,0.93538,1.00546,0.95021,0.0006536,0.0006536,0.0006536
70,122.591,0.78538,1.03081,0.99225,1,0.90898,0.91679,0.6514,1.02205,0.97768,0.97008,0.0006338,0.0006338,0.0006338
71,124.311,0.68587,0.93828,0.92828,1,0.90325,0.91021,0.66415,1.07008,0.94009,0.98164,0.000614,0.000614,0.000614
72,125.999,0.69064,0.98123,0.91833,1,0.90325,0.91021,0.66415,1.07008,0.94009,0.98164,0.0005942,0.0005942,0.0005942
73,127.726,0.72645,1.01445,0.92085,1,0.90094,0.91693,0.67907,0.9844,0.93401,0.97614,0.0005744,0.0005744,0.0005744
74,129.444,0.63958,0.93084,0.89985,1,0.90094,0.91693,0.67907,0.9844,0.93401,0.97614,0.0005546,0.0005546,0.0005546
75,131.167,0.6581,0.94306,0.89119,1,0.90093,0.92023,0.73637,0.88497,0.92307,0.9547,0.0005348,0.0005348,0.0005348
76,132.954,0.62154,0.96155,0.91151,1,0.89901,0.92915,0.714,0.79676,0.94261,0.94059,0.000515,0.000515,0.000515
77,134.723,0.71058,1.02443,0.94943,1,0.89901,0.92915,0.714,0.79676,0.94261,0.94059,0.0004952,0.0004952,0.0004952
78,136.461,0.67222,0.95725,0.92336,1,0.90448,0.93038,0.73395,0.80881,0.91818,0.92821,0.0004754,0.0004754,0.0004754
79,138.148,0.65768,0.9629,0.92309,1,0.90774,0.93594,0.73054,0.88403,0.90891,0.93021,0.0004556,0.0004556,0.0004556
80,139.924,0.66089,0.92523,0.89299,1,0.90774,0.93594,0.73054,0.88403,0.90891,0.93021,0.0004358,0.0004358,0.0004358
81,141.736,0.61241,0.91094,0.91053,1,0.90761,0.94036,0.73637,0.91253,0.84796,0.93571,0.000416,0.000416,0.000416
82,143.478,0.67071,1.02411,0.93738,1,0.90761,0.94036,0.73637,0.91253,0.84796,0.93571,0.0003962,0.0003962,0.0003962
83,145.124,0.63842,0.93339,0.89562,1,0.9018,0.90516,0.7369,0.91076,0.86394,0.94055,0.0003764,0.0003764,0.0003764
84,146.86,0.63085,0.88112,0.91379,1,0.90147,0.9446,0.75299,0.8752,0.89438,0.9373,0.0003566,0.0003566,0.0003566
85,148.589,0.65849,0.91982,0.9076,1,0.90147,0.9446,0.75299,0.8752,0.89438,0.9373,0.0003368,0.0003368,0.0003368
86,150.342,0.58799,0.93921,0.93661,1,0.90272,0.95,0.76318,0.85984,0.86307,0.93166,0.000317,0.000317,0.000317
87,152.078,0.61608,0.89812,0.90288,1,0.90705,0.94625,0.76531,0.88286,0.82816,0.92558,0.0002972,0.0002972,0.0002972
88,153.755,0.55974,0.8884,0.86416,1,0.90705,0.94625,0.76531,0.88286,0.82816,0.92558,0.0002774,0.0002774,0.0002774
89,155.482,0.61957,0.92476,0.86987,0.99324,0.90909,0.94804,0.74517,0.88544,0.82264,0.91902,0.0002576,0.0002576,0.0002576
90,157.233,0.68763,0.93972,0.91633,0.99324,0.90909,0.94804,0.74517,0.88544,0.82264,0.91902,0.0002378,0.0002378,0.0002378
91,167.178,0.52703,1.0221,0.82972,0.99182,0.90909,0.94308,0.73809,0.85954,0.80998,0.91574,0.000218,0.000218,0.000218
92,168.929,0.49243,0.97157,0.83807,0.99163,0.90909,0.94804,0.74609,0.83404,0.841,0.91446,0.0001982,0.0001982,0.0001982
93,170.596,0.47942,0.96443,0.80542,0.99163,0.90909,0.94804,0.74609,0.83404,0.841,0.91446,0.0001784,0.0001784,0.0001784
94,172.394,0.47877,0.9887,0.84099,0.98914,0.90909,0.94804,0.73619,0.82436,0.82042,0.91476,0.0001586,0.0001586,0.0001586
95,174.144,0.47307,0.95956,0.82227,0.98884,0.90909,0.94804,0.74746,0.83131,0.82529,0.91665,0.0001388,0.0001388,0.0001388
96,175.772,0.51837,1.01355,0.87128,0.98884,0.90909,0.94804,0.74746,0.83131,0.82529,0.91665,0.000119,0.000119,0.000119
97,177.467,0.4992,0.938,0.84971,0.98964,0.90909,0.94804,0.75279,0.84062,0.84278,0.91749,9.92e-05,9.92e-05,9.92e-05
98,179.361,0.49235,0.96219,0.81783,0.98964,0.90909,0.94804,0.75279,0.84062,0.84278,0.91749,7.94e-05,7.94e-05,7.94e-05
99,181.047,0.50101,0.96239,0.84266,1,0.90908,0.95214,0.76488,0.8435,0.84322,0.91768,5.96e-05,5.96e-05,5.96e-05
100,182.786,0.48426,0.95506,0.83273,1,0.8938,0.90516,0.76213,0.84645,0.84574,0.9195,3.98e-05,3.98e-05,3.98e-05
